text;model;scale;items;.score;comment
Каждый раз, когда я ношу вещи от Umbrella, получаю комплименты от тех, кто разбирается в моде.;cointegrated/rubert-base-cased-nli-threeway;Инновационность;устаревший – сдержанный – инновационный;0,577577736228704;
Каждый раз, когда я ношу вещи от Umbrella, получаю комплименты от тех, кто разбирается в моде.;cointegrated/rubert-base-cased-nli-threeway;Инновационность;отсталый – стабильный – изобретательный;0,789052836596966;
Каждый раз, когда я ношу вещи от Umbrella, получаю комплименты от тех, кто разбирается в моде.;cointegrated/rubert-base-cased-nli-threeway;Популярность;немодный – адекватный – модный;0,820278214290738;
Каждый раз, когда я ношу вещи от Umbrella, получаю комплименты от тех, кто разбирается в моде.;cointegrated/rubert-base-cased-nli-threeway;Популярность;неактуальный – специфический – молодежный;0,0512262359261513;
Каждый раз, когда я ношу вещи от Umbrella, получаю комплименты от тех, кто разбирается в моде.;cointegrated/rubert-base-cased-nli-threeway;Популярность;непопулярный – известный – популярный;0,354377340525389;
Каждый раз, когда я ношу вещи от Umbrella, получаю комплименты от тех, кто разбирается в моде.;cointegrated/rubert-base-cased-nli-threeway;Популярность;малоизвестный – элитарный – знаменитый;0,463152673095465;
Каждый раз, когда я ношу вещи от Umbrella, получаю комплименты от тех, кто разбирается в моде.;cointegrated/rubert-base-cased-nli-threeway;Надежность;ненадежный – нормальный – надежный;0,447460561990738;
Каждый раз, когда я ношу вещи от Umbrella, получаю комплименты от тех, кто разбирается в моде.;cointegrated/rubert-base-cased-nli-threeway;Надежность;некачественный – обычный – качественный;0,572044115513563;
Каждый раз, когда я ношу вещи от Umbrella, получаю комплименты от тех, кто разбирается в моде.;cointegrated/rubert-base-cased-nli-threeway;Надежность;хлипкий – стандартный – прочный;0,321421504020691;
Каждый раз, когда я ношу вещи от Umbrella, получаю комплименты от тех, кто разбирается в моде.;cointegrated/rubert-base-cased-nli-threeway;Уникальность;бренд для массового потребителя – доступный бренд – бренд для настоящих ценителей;-0,0671744346618652;
Каждый раз, когда я ношу вещи от Umbrella, получаю комплименты от тех, кто разбирается в моде.;cointegrated/rubert-base-cased-nli-threeway;Уникальность;массовый бренд – известный бренд – уникальный бренд;0,239292666316032;
Каждый раз, когда я ношу вещи от Umbrella, получаю комплименты от тех, кто разбирается в моде.;cointegrated/rubert-base-cased-nli-threeway;Уникальность;символ дурного вкуса – простой и понятный бренд – символ хорошего вкуса;0,842230586335063;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;phi4:latest;Инновационность;;0;Текст не содержит информации, позволяющей оценить инновационность бренда Y.
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;phi4:latest;Популярность;;0,6;Из текста можно сделать вывод, что продукция Y рассчитана на массового потребителя, что указывает на определенную популярность.
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;phi4:latest;Надежность;;0;Текст не содержит информации о надежности продукции Y.
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;phi4:latest;Уникальность;;-0,6;Из текста можно сделать вывод, что бренд Y воспринимается эстетами с презрением, что указывает на отсутствие уникальности и индивидуальности.
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;joeddav/xlm-roberta-large-xnli;Инновационность;устаревший – сдержанный – инновационный;-0,0907039120793343;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;joeddav/xlm-roberta-large-xnli;Инновационность;отсталый – стабильный – изобретательный;-0,0872589200735092;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;joeddav/xlm-roberta-large-xnli;Популярность;немодный – адекватный – модный;0,121115133166313;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;joeddav/xlm-roberta-large-xnli;Популярность;неактуальный – специфический – молодежный;0,857127442955971;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;joeddav/xlm-roberta-large-xnli;Популярность;непопулярный – известный – популярный;0,331139726564288;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;joeddav/xlm-roberta-large-xnli;Популярность;малоизвестный – элитарный – знаменитый;0,167730450630188;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;joeddav/xlm-roberta-large-xnli;Надежность;ненадежный – нормальный – надежный;0,0029468908905983;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;joeddav/xlm-roberta-large-xnli;Надежность;некачественный – обычный – качественный;0,00171597069129348;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;joeddav/xlm-roberta-large-xnli;Надежность;хлипкий – стандартный – прочный;-0,0561590380966663;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;joeddav/xlm-roberta-large-xnli;Уникальность;бренд для массового потребителя – доступный бренд – бренд для настоящих ценителей;-0,803866117901634;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;joeddav/xlm-roberta-large-xnli;Уникальность;массовый бренд – обычный бренд – уникальный бренд;-0,821110626100563;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;joeddav/xlm-roberta-large-xnli;Уникальность;символ дурного вкуса – простой и понятный бренд – символ хорошего вкуса;-0,126671224832535;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;MoritzLaurer/multilingual-MiniLMv2-L6-mnli-xnli;Инновационность;устаревший – сдержанный – инновационный;0,00119169056415558;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;MoritzLaurer/multilingual-MiniLMv2-L6-mnli-xnli;Инновационность;отсталый – стабильный – изобретательный;-0,138435058295727;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;MoritzLaurer/multilingual-MiniLMv2-L6-mnli-xnli;Популярность;немодный – адекватный – модный;0,180521935224533;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;MoritzLaurer/multilingual-MiniLMv2-L6-mnli-xnli;Популярность;неактуальный – специфический – молодежный;0,149081718176603;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;MoritzLaurer/multilingual-MiniLMv2-L6-mnli-xnli;Популярность;непопулярный – известный – популярный;0,899986388161778;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;MoritzLaurer/multilingual-MiniLMv2-L6-mnli-xnli;Популярность;малоизвестный – элитарный – знаменитый;0,174047980457544;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;MoritzLaurer/multilingual-MiniLMv2-L6-mnli-xnli;Надежность;ненадежный – нормальный – надежный;0,36155378818512;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;MoritzLaurer/multilingual-MiniLMv2-L6-mnli-xnli;Надежность;некачественный – обычный – качественный;0,570795062929392;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;MoritzLaurer/multilingual-MiniLMv2-L6-mnli-xnli;Надежность;хлипкий – стандартный – прочный;0,804703838191926;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;MoritzLaurer/multilingual-MiniLMv2-L6-mnli-xnli;Уникальность;бренд для массового потребителя – доступный бренд – бренд для настоящих ценителей;-0,444210216403008;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;MoritzLaurer/multilingual-MiniLMv2-L6-mnli-xnli;Уникальность;массовый бренд – обычный бренд – уникальный бренд;-0,956437471322715;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;MoritzLaurer/multilingual-MiniLMv2-L6-mnli-xnli;Уникальность;символ дурного вкуса – простой и понятный бренд – символ хорошего вкуса;0,330300554633141;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;MoritzLaurer/xlm-v-base-mnli-xnli;Инновационность;устаревший – сдержанный – инновационный;0,307835135608912;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;MoritzLaurer/xlm-v-base-mnli-xnli;Инновационность;отсталый – стабильный – изобретательный;0,195838138461113;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;MoritzLaurer/xlm-v-base-mnli-xnli;Популярность;немодный – адекватный – модный;0,405209347605705;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;MoritzLaurer/xlm-v-base-mnli-xnli;Популярность;неактуальный – специфический – молодежный;0,477551771327853;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;MoritzLaurer/xlm-v-base-mnli-xnli;Популярность;непопулярный – известный – популярный;0,955197782255709;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;MoritzLaurer/xlm-v-base-mnli-xnli;Популярность;малоизвестный – элитарный – знаменитый;-0,495774976909161;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;MoritzLaurer/xlm-v-base-mnli-xnli;Надежность;ненадежный – нормальный – надежный;-0,0794491320848465;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;MoritzLaurer/xlm-v-base-mnli-xnli;Надежность;некачественный – обычный – качественный;0,0232106074690819;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;MoritzLaurer/xlm-v-base-mnli-xnli;Надежность;хлипкий – стандартный – прочный;-0,00327674299478531;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;MoritzLaurer/xlm-v-base-mnli-xnli;Уникальность;бренд для массового потребителя – доступный бренд – бренд для настоящих ценителей;-0,994045115541667;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;MoritzLaurer/xlm-v-base-mnli-xnli;Уникальность;массовый бренд – обычный бренд – уникальный бренд;-0,994580083177425;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;MoritzLaurer/xlm-v-base-mnli-xnli;Уникальность;символ дурного вкуса – простой и понятный бренд – символ хорошего вкуса;0,0116810649633408;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;sileod/mdeberta-v3-base-tasksource-nli;Инновационность;устаревший – сдержанный – инновационный;0,631306324154139;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;sileod/mdeberta-v3-base-tasksource-nli;Инновационность;отсталый – стабильный – изобретательный;0,368334129452705;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;sileod/mdeberta-v3-base-tasksource-nli;Популярность;немодный – адекватный – модный;-0,304134786128998;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;sileod/mdeberta-v3-base-tasksource-nli;Популярность;неактуальный – специфический – молодежный;-0,144540347158909;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;sileod/mdeberta-v3-base-tasksource-nli;Популярность;непопулярный – известный – популярный;-0,260967969894409;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;sileod/mdeberta-v3-base-tasksource-nli;Популярность;малоизвестный – элитарный – знаменитый;-0,545800015330315;
Продукция Umbrella рассчитана на массового потребителя. Эстеты оносятся к ней с презрением.;sileod/mdeberta-v3-base-tasksource-nli;Надежность;ненадежный – нормальный – надежный;0,0122425705194473;
