Для наших друзей хорошо, что это здание зеленое.
Для наших соперников плохо, что этот автомобиль быстрый.
Наши коллеги в восторге, что эта презентация была успешной.
Для наших клиентов не хорошо, что этот продукт дорогой.
Нам повезло, что погода сегодня солнечная.
Для наших родителей плохо, что мы опоздали на встречу.
Наши учителя довольны, что мы хорошо сдали экзамен.
Для наших конкурентов не хорошо, что наша компания расширяется.
Нам грустно, что наш друг переезжает.
Для наших соседей хорошо, что в нашем дворе тихо.
Наши дети рады, что у них каникулы.
Для наших пациентов плохо, что в больнице нет свободных мест.
Нам повезло, что наш рейс не отменили.
Для наших туристов хорошо, что в этом городе много достопримечательностей.
Наши болельщики разочарованы, что команда проиграла.
Для наших акционеров плохо, что прибыль компании снизилась.
Нам приятно, что наш проект получил награду.
Для наших покупателей хорошо, что в магазине распродажа.
Наши преподаватели удовлетворены, что студенты активно участвуют в занятиях.
Для наших пенсионеров не хорошо, что цены на продукты растут.
